Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Lowell Transitional Living Center","Lowell Transitional Living Center","Lowell Transitional Living Center","Community-Based Organization",Unknown,Unknown,Unknown,Unknown,Lowell,MA,Unknown,Middlesex,1,"Greater Lowell area",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Homeless individuals; people with MH needs","Case Management; Crisis Services; Care Coordination; Peer Support",No,No,No,No,No,No,No,"Community Center","Transitional housing and case management; mental health referrals and navigation; support for homeless and vulnerable populations",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – free",Unknown,"Free services","Homeless and at-risk individuals in Greater Lowell","Housing-adjacent mental health support; navigation",Unknown,"GLHA; Lowell CHC; GLHA partners","The Lowell Transitional Living Center provides transitional housing, case management, and mental health referrals for homeless and vulnerable individuals in Greater Lowell. Listed as a GLHA partner organization.","GLHA Partner Organizations list",https://www.greaterlowellhealthalliance.org/who-we-are/partner-organizations/,,42.656045,-71.303309,1,place,,,"Lowell, MA 01850",,,,,,Lowell,MA,,"Middlesex County",01850,US,,"TIGER/Line® from the US Census Bureau",,
"Lowell Vet Center","Lowell Vet Center – Counseling and Mental Health for Veterans","U.S. Department of Veterans Affairs","Other – Veterans Service",https://www.va.gov/lowell-vet-center/,"(978) 453-1151",Unknown,"10 George Street",Lowell,MA,1852,Middlesex,1,"Greater Lowell area; veterans from all military branches","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Veterans; military families; active duty; National Guard; Reservists","Individual Therapy; Group Therapy; Psychiatric Medication Management; Crisis Services; Peer Support; Case Management",Yes,Yes,No,No,No,No,No,Clinic,"Readjustment counseling; PTSD treatment; military sexual trauma (MST) counseling; substance use counseling; bereavement counseling; family counseling; referral to VA Bedford for inpatient",Unknown,Unknown,Unknown,Unknown,"Veterans; military sexual trauma survivors","Yes – VA-eligible veterans",No,No,"Yes – free for eligible veterans",No,"Free for VA-eligible veterans; some services for veterans regardless of discharge status","Veterans, active duty, National Guard/Reservists, and their families in Greater Lowell","PTSD; military sexual trauma; readjustment counseling; community-based",Unknown,"VA Bedford Healthcare System; Lowell CHC; GLHA","The Lowell Vet Center provides free readjustment counseling, PTSD treatment, military sexual trauma counseling, substance use services, and family counseling for veterans and their families in Greater Lowell. Complementary to VA Bedford Healthcare System (already listed).","VA Lowell Vet Center website; VA Bedford website",https://www.va.gov/lowell-vet-center/,,42.642087,-71.305681,1,rooftop,"10 George St",,"Lowell, MA 01852",,10,"George St",,,Lowell,MA,,"Middlesex County",01852,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnqnk9lrbbm8dv6n3eucwms39sz6,building_centroid
"LUK Behavioral Health","LUK Behavioral Health Clinic – Fitchburg (serving Middlesex towns)","LUK Inc.","Crisis/Urgent Care",https://lukservices.org,"(978) 829-2217",Unknown,"454 Westminster Street",Fitchburg,MA,1420,Worcester,1,"Fitchburg and north Middlesex towns (Ayer, Groton, Pepperell, Shirley, Townsend, Lunenburg area)",Hybrid,Yes,"Including north Middlesex County towns",Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Group Therapy; Psychiatric Medication Management; Crisis Services",Yes,Yes,No,No,No,Unknown,No,Clinic,"BH Urgent Care site; all ages; extended hours Mon–Fri 8am–7pm, Sat 10am–2pm",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – MassHealth (BH Urgent Care site)",Unknown,Unknown,Unknown,Unknown,"BH Urgent Care site","All ages","BH Urgent Care; telehealth available",Unknown,Unknown,"LUK Behavioral Health in Fitchburg is a BH Urgent Care site serving all ages, with extended weekday hours and Saturday hours. While in Worcester County, it explicitly serves north Middlesex towns (Ayer, Groton, Pepperell, Shirley, Townsend) per the BH Urgent Care directory.","Mass.gov BH Urgent Care CSV (4/10/26)",https://www.mass.gov/info-details/behavioral-health-urgent-care,,42.567198,-71.844318,1,rooftop,"454 Westminster St",,"Fitchburg, MA 01420",,454,"Westminster St",,,Fitchburg,MA,,"Worcester County",01420,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnr9xrsxa9fypee3z6y5dh9wjvw9,building_centroid
"Luminosity Behavioral Health","Outpatient Therapy, CBHI & Therapeutic Mentoring – Southeast MA (including Bristol County)","Luminosity Behavioral Health","Community Mental Health Clinic",https://luminosityma.org,"(781) 344-0102",Unknown,"157 Main St",Brockton,MA,2301,"Plymouth (serves Bristol County)","1 (HQ in Brockton)","Southeast MA including Bristol County",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"French; Haitian Creole; Portuguese; Spanish-speaking communities","Individual Therapy; Psychoeducation; Case Management; Peer Support",Yes,No,Yes,No,No,No,No,"Clinic; Home-based; School","Mental health and SUD counseling; CBHI services; therapeutic mentoring; in-home therapy; specialty programs","French; Haitian Creole; Portuguese; Spanish","French; Haitian Creole; Portuguese; Spanish",Yes,"French; Haitian Creole; Portuguese; Spanish","Haitian community; Portuguese-speaking; French-speaking",Yes,Unknown,Yes,Unknown,Unknown,"MassHealth; commercial","Children, youth, adults in Southeast MA including Bristol County; CBHI-eligible youth","CBHI wraparound; multilingual; in-home therapy; Haitian Creole services",Unknown,"Mass DMH; DCF; area schools","Luminosity Behavioral Health provides outpatient and in-home mental health and SUD services in southeast MA including Bristol County, with explicit capacity in Haitian Creole, French, Portuguese, and Spanish. Offers CBHI services (therapeutic mentoring, in-home therapy) for children and adolescents. Key resource for Haitian and Portuguese-speaking communities.","DMH Multicultural MH Directory 2018",https://www.mass.gov/doc/downloadable-southeast-area-resources/download,,41.735647,-71.285196,0.4,range_interpolation,"157 Main St",,"Warren, RI 02885",,157,"Main St",,,Warren,RI,,"Bristol County",02885,US,,"TIGER/Line® from the US Census Bureau",gcod_usn5kly7g7pxlfkgmatwnujsejtkh,
"Luminosity Behavioral Health","Luminosity Behavioral Health – Brockton","Unknown (private)","Community Mental Health Clinic",http://luminosityma.org,"(781) 344-0102",Unknown,"157 Main Street",Brockton,MA,2301,Plymouth,1,"Brockton and surrounding communities",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,"Haitian; French-speaking; Portuguese; Spanish-speaking communities","Individual Therapy; Home-Based Therapy; Therapeutic Mentoring; Case Management; Psychiatric Services",Yes,Yes,Yes,No,No,No,No,"Clinic; Home-based","CBHI (Children's Behavioral Health Initiative) services; therapeutic mentoring; specialty programs","French; Haitian Creole; Portuguese; Spanish","French; Haitian Creole; Portuguese; Spanish",Yes,"French; Haitian Creole; Portuguese; Spanish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Children and youth; CBHI eligible","CBHI; home-based therapy",Unknown,"Luminosity Behavioral Health in Brockton provides mental health and SUD counseling including CBHI, in-home therapy, therapeutic mentoring, and specialty programs. Staff speak French, Haitian Creole, Portuguese, and Spanish, reflecting the diverse Brockton immigrant communities served.","DMH SE Directory",https://www.mass.gov/doc/downloadable-southeast-area-resources/download,,,,42.088771,-71.019495,1,range_interpolation,"157 N Main St",,"Brockton, MA 02301",,157,"N Main St",,,Brockton,MA,,"Plymouth County",02301,US,,"TIGER/Line® from the US Census Bureau",gcod_usnhffpr9cpenkdbc8lu9p68atvug,
"Lynn Community Health Center","Behavioral Health Program","Lynn Community Health Center","Community Health Center/FQHC",https://lynnchc.org,Unknown,Unknown,"20 Central Ave, 3rd & 6th Floors",Lynn,MA,1901,Essex,Multiple,"Lynn and surrounding area",Hybrid,Unknown,Unknown,Yes,Unknown,Unknown,Yes,"Refugee communities; Afghan community; Ukrainian community; immigrant and refugee families generally","Individual Therapy; Family Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Case Management",Yes,Yes,Yes,No,Unknown,No,No,No,"Clinic; Community Center","Refugee Health Assessment Program (since 1999); Wellness and Integration follow-up for refugees; integrated primary care behavioral health; eating disorder support; LGBTQ-affirming",Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,"Sliding fee scale available; FQHC; serves regardless of ability to pay","All ages; all patients regardless of insurance","Refugee Health Assessment Program; behavioral health screening integrated into refugee health exams; trauma-informed care","International Institute of New England; Catholic Charities; RIAC","Lynn Community Health Center is one of Massachusetts's largest refugee health sites, with a Refugee Program since 1999 that integrates behavioral health screening for all newly arrived refugees. Services include individual and group therapy, psychiatry, and dual-diagnosis care. Sliding scale and uninsured care available as an FQHC.","Org website; Itemlive; mentalhealthcenters.net",https://lynnchc.org/refugee-clinic-services/,,42.46397,-70.946018,1,rooftop,"20 Central Ave",,"Lynn, MA 01901",,20,"Central Ave",,,Lynn,MA,,"Essex County",01901,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhjb74cusnay9b24zdbdew4h658,parcel_centroid
"Lynn Community Health Center","Refugee Health Assessment Program","Lynn Community Health Center","Community Health Center/FQHC",https://lynnchc.org/refugee-clinic-services/,Unknown,Unknown,"20 Central Ave",Lynn,MA,1901,Essex,1,"Lynn and surrounding area; statewide refugee placement",In-person,Unknown,Unknown,Yes,Unknown,Unknown,Yes,"Afghan, Ukrainian, Somali, and other refugee communities","Care Coordination; Case Management; Other (health assessment; behavioral health screening)","Yes (embedded)",No,No,No,Unknown,No,No,No,Clinic,"Refugee Health Assessment per DPH/CDC protocol; behavioral health screening for all new refugees; Wellness and Integration follow-up; referrals to behavioral health",Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,"No-cost refugee health assessment for newly arrived refugees; funded by DPH","Newly arrived refugees; all immigration statuses","Behavioral health screening integrated into refugee health exam; trauma identification and referral","International Institute of New England; Catholic Charities; RIAC","LCHC's Refugee Program (est. 1999) provides mandatory refugee health assessments and has integrated behavioral health screening since the mid-2010s. It is one of the largest refugee sites in MA, having served 110+ Afghan refugees since 2022 and 47+ Ukrainians. Referrals to behavioral health are made immediately when distress, isolation, or trauma is identified.","LCHC website; Itemlive",https://lynnchc.org/refugee-clinic-services/,,42.46397,-70.946018,1,rooftop,"20 Central Ave",,"Lynn, MA 01901",,20,"Central Ave",,,Lynn,MA,,"Essex County",01901,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhjb74cusnay9b24zdbdew4h658,parcel_centroid
"Lynn Community Health Center","Behavioral Health – Integrated Primary Care BH (Additional Detail: Adult and Child Therapy)","Lynn Community Health Center","Community Health Center/FQHC",https://lynnchc.org/behavioral-health-services/,Unknown,Unknown,"20 Central Ave (multiple floors)",Lynn,MA,1901,Essex,Multiple,"Lynn and surrounding area",Hybrid,Yes,Unknown,Yes,Unknown,Unknown,Yes,"Refugee communities; immigrant families","Individual Therapy; Psychiatric Medication Management; Care Coordination",Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Clinic,"Integrated BH in primary care teams using warm-handoff model; individual therapy for children and adults; MAT (OBAT); psychiatric evaluation; case management; behavioral health screening for all patients; eating disorder support; LGBTQ+-affirming",Unknown,Unknown,Yes,"Multiple (via interpreter)",Unknown,Yes,Yes,Yes,Yes,Yes,"Sliding fee scale; FQHC; no one denied","All patients; all ages; regardless of insurance or immigration status","Integrated BH/primary care; eating disorder support; LGBTQ+-affirming","IINE; RIAC; Catholic Charities","The LCHC behavioral health program (already listed for its Refugee Health Assessment Program in Batch 1) also delivers robust integrated behavioral health across all primary care teams using a warm-handoff model. Individual therapy, psychiatry, MAT/OBAT, and eating disorder support are available regardless of ability to pay. This row documents the broader BH program distinct from the refugee-specific program.","LCHC website (lynnchc.org/behavioral-health-services/)",https://lynnchc.org/behavioral-health-services/,,,42.46397,-70.946018,1,rooftop,"20 Central Ave",,"Lynn, MA 01901",,20,"Central Ave",,,Lynn,MA,,"Essex County",01901,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhjb74cusnay9b24zdbdew4h658,parcel_centroid
"MA Counseling, LLC","MA Counseling – Plymouth","Unknown (private group practice)","Private Practice – Group",https://www.macounseling.org,Unknown,Unknown,"Plymouth, MA (specific street address not publicly confirmed)",Plymouth,MA,2360,Plymouth,1,"Plymouth and surrounding communities; telehealth statewide MA",Hybrid,Yes,Massachusetts,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Couples Therapy; Child/Adolescent Therapy",Yes,No,No,No,No,No,No,Clinic,"Evidence-based therapies including CBT and DBT; trauma-focused therapy; child and adolescent services; couples therapy; in-person Plymouth office plus statewide telehealth",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Children; adolescents; adults; families; couples","Trauma; DBT; child/adolescent therapy",Unknown,"MA Counseling LLC is a private group practice with an in-person Plymouth office providing evidence-based individual, family, couples, and child/adolescent therapy including CBT, DBT, and trauma-focused care. Services are also available via secure telehealth throughout Massachusetts.","Org website",https://www.macounseling.org,,,41.769211,-70.604586,0.82,street_center,"Plymouth Ln",,"Buzzards Bay, MA 02532",,,"Plymouth Ln",,,"Buzzards Bay",MA,,"Barnstable County",02532,US,,"TIGER/Line® from the US Census Bureau",gcod_uss39eagcx678u35,
"Manet Community Health Center","Behavioral Health Services – North Quincy","Manet Community Health Center","Community Health Center/FQHC",https://www.manetchc.org/behavorial-health/,617-376-3030,info@manetchc.org,"110 West Squantum Street",Quincy,MA,2171,Norfolk,"4 in Quincy + others (Hull, Taunton, Attleboro)","Quincy and surrounding communities; Norfolk County",Hybrid,Yes,"Service area",Unknown,Unknown,Unknown,"Yes – ""quality, comprehensive health care for all, regardless of financial circumstance or health insurance coverage status""","Serves diverse underserved populations","Individual Therapy; Psychiatric Medication Management; Care Coordination; Case Management; Other – integrated BH, MAT",Yes,Yes,No,No,No,No,No,"Clinic; Telehealth","Integrated behavioral health; counseling; psychiatric care; MAT for SUD; Behavioral Health Open Access (walk-in Thursdays 9am-4pm for Manet patients); case management; contact BH Case Manager 617-404-4156; affiliated with Boston Medical Center Health System",Unknown,Unknown,Yes,Unknown,No,"Yes – MassHealth","Yes – Medicare",Unknown,Yes,Yes,"Federally Qualified sliding fee scale based on income and family size","All patients regardless of financial status or insurance; no denial for inability to pay","Integrated primary care + BH; MAT; PCMH Prime certified","Serves low-income and uninsured; income-based sliding fee; serves Quincy Housing Authority public housing community","Boston Medical Center Health System; BMC HealthNet; Boston HealthNet","Manet is a FQHC and PCMH Prime-certified health center serving over 27,000 patients annually, including underserved populations in Quincy's public housing. Behavioral health services are integrated with primary care, and the center offers MAT, counseling, and psychiatric services on a sliding fee scale open to all regardless of ability to pay.","Org website; About Us page",https://www.manetchc.org/behavorial-health/,,42.272543,-71.030809,1,rooftop,"110 W Squantum St",,"Quincy, MA 02171",,110,"W Squantum St",,,Quincy,MA,,"Norfolk County",02171,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usng49qassblgbp4ku2q66qwszxpf,building_centroid
"Manet Community Health Center","Behavioral Health Services – Quincy (Houghs Neck & Snug Harbor)","Manet Community Health Center","Community Health Center/FQHC",https://www.manetchc.org,617-376-3000,info@manetchc.org,"549 Washington Street (and Snug Harbor site)",Quincy,MA,2169,Norfolk,"4 primary care sites in Quincy","Quincy underserved areas; Medically Underserved Areas",Hybrid,Yes,"Service area",Unknown,Unknown,Unknown,"Yes – ""quality, comprehensive health care for all, regardless of financial circumstance or health insurance coverage status""","Low-income; public housing residents; homeless","Individual Therapy; Psychiatric Medication Management; Care Coordination; Other – integrated BH, MAT, overdose prevention",Yes,Yes,No,No,No,No,No,"Clinic; Telehealth","HIV/STI/Hep C and Overdose Prevention (Tuesdays 11am-4pm); outreach and prevention site; MAT; integrated BH with primary care; harm reduction; case management",Unknown,Unknown,Yes,Unknown,No,"Yes – MassHealth","Yes – Medicare",Unknown,Yes,Yes,"Federal sliding fee scale; serves uninsured and underinsured","All; two Quincy sites are in Medically Underserved Areas (MUAs); serves public housing residents","Overdose prevention; harm reduction; Narcan distribution; HIV/STI","Serves public housing residents; Quincy Housing Authority partnership","Boston Medical Center Health System; Boston HealthNet; BMC","Manet CHC's Quincy sites in Houghs Neck and Snug Harbor (Germantown/Quincy Housing Authority) serve medically underserved and public housing residents with integrated behavioral health, MAT, overdose prevention, and harm reduction services. A federal sliding fee scale ensures access regardless of ability to pay.","Org website; CHC Chronicles",https://www.manetchc.org,,42.247089,-70.979318,0.94,nearest_rooftop_match,"547 Washington St","Ste QUINCY","Quincy, MA 02169",,547,"Washington St",Ste,QUINCY,Quincy,MA,,"Norfolk County",02169,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnq7a56nfss86h22aa65vajbvtzc,building_centroid
"Manet Community Health Center","Behavioral Health – Hull Site","Manet Community Health Center","Community Health Center/FQHC",https://www.manetchc.org,781-925-3388,info@manetchc.org,"125 Spring Street",Hull,MA,2045,"Plymouth (Hull is Plymouth County) – serves some Norfolk County residents","1 (Hull site)","Hull and surrounding Plymouth/Norfolk coastal communities",Hybrid,Yes,"Service area",Unknown,Unknown,Unknown,"Yes – no denial for inability to pay or immigration status","Underserved coastal community","Individual Therapy; Psychiatric Medication Management; Care Coordination; Other – integrated BH",Yes,Yes,No,No,No,No,No,"Clinic; Telehealth","Integrated behavioral health co-located with primary care; counseling; psychiatric services; MAT; sliding fee scale; serves underserved coastal community residents including some Norfolk County border residents; affiliated with Boston Medical Center Health System",Unknown,Unknown,Unknown,Unknown,No,"Yes – MassHealth","Yes – Medicare",Unknown,Yes,Yes,"Federal sliding fee scale; serves all regardless of ability to pay","All patients regardless of insurance or income","Integrated primary care + BH","Serves low-income and uninsured; accessible to immigrants","Boston Medical Center Health System; Boston HealthNet","Manet's Hull site, while in Plymouth County, serves a coastal community accessible to some Norfolk County residents near Quincy's Squantum/North Quincy area. As an FQHC, it offers integrated behavioral health, MAT, and psychiatric services on a federal sliding fee scale, accepting all patients regardless of ability to pay.","Org website (About Us); Org website Contact",https://www.manetchc.org,,42.140023,-71.259129,0.96,range_interpolation,"125 Spring St",,"Walpole, MA 02081",,125,"Spring St",,,Walpole,MA,,"Norfolk County",02081,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvzkjfz2krghhcmh25k55drwwlb,
"Manet Community Health Center","Behavioral Health – Attleboro Site","Manet Community Health Center","Community Health Center/FQHC",https://www.manetchc.org,"(508) 205-4600",info@manetchc.org,"8 North Main St",Attleboro,MA,2703,Bristol,"8 sites (Quincy x4, Hull, Taunton x2, Attleboro)","Attleboro and northern Bristol County",Hybrid,Yes,Massachusetts,Unknown,Unknown,Unknown,"Yes (explicitly serves all regardless of insurance)",Unknown,"Individual Therapy; Case Management; Care Coordination",Yes,No,No,No,No,No,Clinic,"Integrated behavioral health within primary care; behavioral health open access hours (Fri 9am–4pm, Taunton); substance use counseling; nutrition; chronic disease management",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,"FQHC sliding fee scale; accepts all regardless of ability to pay","Open to all; FQHC-eligible populations","FQHC with integrated behavioral health; BMC affiliation",Unknown,"Boston Medical Center Health System; MassLeague","Manet's Attleboro site opened in 2021 to address primary care and behavioral health gaps in northern Bristol County. Offers integrated mental health counseling, substance use services, and care management embedded in primary care. Accepts all regardless of insurance or financial status.","Org website",https://www.manetchc.org/behavorial-health/,,,41.944545,-71.284482,1,rooftop,"8 N Main St",,"Attleboro, MA 02703",,8,"N Main St",,,Attleboro,MA,,"Bristol County",02703,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhlpajetsafqu7nnszcpav3x66g,building_centroid
"Manet Community Health Center","Behavioral Health – Taunton Site (60 Williams St)","Manet Community Health Center","Community Health Center/FQHC",https://www.manetchc.org,"(857) 358-7260",info@manetchc.org,"60 Williams St, P101",Taunton,MA,2780,Bristol,8,"Taunton and southeastern Bristol County",Hybrid,Yes,Massachusetts,Unknown,Unknown,Unknown,Yes,Unknown,"Individual Therapy; Case Management",Yes,No,No,No,No,No,"Clinic; School (Taunton Public Schools site)","Behavioral health open access hours (Fri 9am–4pm); school-based health center at Taunton Public Schools (60 Williams St TPS site); HIV/STI/Hep C prevention",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,"FQHC sliding fee scale","Open to all; Taunton-area patients","FQHC with school-based health center at Taunton Public Schools",Unknown,"Taunton Public Schools; Boston Medical Center","Manet's Taunton site is its second-busiest location, offering integrated behavioral health counseling and open-access hours, plus a school-based health center embedded within Taunton Public Schools. Serves all patients regardless of ability to pay through FQHC sliding fee scale.","Org website",https://www.manetchc.org/about-us/locations/,,,41.90119,-71.069827,1,rooftop,"60 Williams St",P101,"Taunton, MA 02780",,60,"Williams St",,P101,Taunton,MA,,"Bristol County",02780,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhry852a584up74fysg7mmr5v5h-zcl46yghqhku6,building_centroid
"MAP for Health","MAP for Health – LGBTQ+ Youth Clinical Case Management and Mental Health","MAP for Health","Community-Based Organization",https://www.maphealth.org/,Unknown,Unknown,"Unknown (Boston area)",Boston,MA,Unknown,Suffolk,Unknown,"Greater Boston","In-person only",No,Unknown,Unknown,Unknown,Unknown,Unknown,"LGBTQ+ youth; young adults; coming out; gender identity","Individual Therapy; Case Management; Support Groups; Referrals; Psychoeducation",Yes,No,No,No,No,No,No,"Community Center","Clinical case management and mental health support services for LGBTQ+ youth navigating coming out and gender identity transition; coping strategies; services extend outside physical space into community",Unknown,Unknown,Unknown,Unknown,"LGBTQ+ youth clinical case management",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"LGBTQ+ youth in Greater Boston","LGBTQ+ youth mental health; gender identity transition","LGBTQ+ immigrant youth navigating identity and mental health","Fenway Health; South Cove CHC; Boston GLASS","MAP for Health provides clinical case management and mental health support for LGBTQ+ youth navigating the coming out process and gender identity transition, including coping strategy development. Services extend beyond the physical office into the community where youth spend time.","MAP for Health website",https://www.maphealth.org/,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
"Maria Droste Counseling Services","Outpatient Counseling – Quincy","Maria Droste Counseling Services","Community Mental Health Clinic",https://www.mariadroste.org,617-471-5686,Unknown,"1354 Hancock Street, 2nd Floor, Suite 209",Quincy,MA,2169,Norfolk,Unknown,"Quincy and surrounding South Shore",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Group Therapy",Yes,No,No,No,No,No,No,"Clinic; Telehealth","Outpatient counseling; individual, couples, family, and group therapy",Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,"Call for insurance and payment details","Adults; youth; families",Unknown,Unknown,Unknown,"Maria Droste Counseling Services provides outpatient mental health counseling in Quincy, including individual, couples, family, and group therapy, with telehealth options available.","City of Quincy Health Department listing",https://www.quincyma.gov/departments/health/health_department_information/mental_health.php,,42.250576,-71.002567,1,rooftop,"1354 Hancock St","Ste 209","Quincy, MA 02169",,1354,"Hancock St",Ste,209,Quincy,MA,,"Norfolk County",02169,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3wh7l6b38npk2lwr96xxgus9be-vwbp9q335lfwe,parcel_centroid
"Maria Droste Counseling Services","Outpatient Mental Health Counseling and Holistic Therapy – Quincy","Maria Droste Counseling Services (nonprofit)","Community Mental Health Clinic",https://mariadrostecounseling.com,617-471-5686,Unknown,"1354 Hancock Street, 2nd Floor, Suite 209",Quincy,MA,2169,Norfolk,1,"Quincy, South Shore, Greater Boston, MetroWest",Hybrid,Yes,"Massachusetts statewide",Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Other – couples therapy, grief counseling, holistic therapy",Yes,No,No,No,No,No,No,"Clinic; Telehealth","Nonprofit outpatient mental health and holistic therapy agency serving South Shore since 1992; individual, couples, and family therapy; CBT; EMDR; IFS; grief counseling; holistic therapies including massage therapy, polarity therapy, acupressure; faith-inclusive team (various religious backgrounds); sliding fee scale specifically for those without insurance or high deductibles; accessible via MBTA Red Line (3-min walk from Quincy Center station); evening and weekend hours based on therapist availability; free 15-min consultation",Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,"Yes – many insurance plans accepted",Unknown,"Yes – sliding fee scale specifically for those with no insurance or high deductibles","Sliding fee scale: call for rates; many insurance plans accepted; free 15-min consult","Adults, adolescents, children ages 4+, couples, and families; no insurance required for sliding scale","EMDR; IFS; holistic therapy; grief; faith-inclusive; couples therapy",Unknown,"South Shore Chamber of Commerce; Archdiocese of Boston (listed as charitable service)","Maria Droste Counseling Services is a small nonprofit in Quincy Center offering outpatient counseling and holistic therapy since 1992, with a sliding fee scale specifically for individuals without insurance or those burdened by high deductibles and copays. The team includes clinicians of diverse backgrounds and offers CBT, EMDR, IFS, grief counseling, and holistic modalities.","Org website; Psychology Today; Archdiocese Boston listing; South Shore Chamber",https://mariadrostecounseling.com,,42.250576,-71.002567,1,rooftop,"1354 Hancock St","Ste 209","Quincy, MA 02169",,1354,"Hancock St",Ste,209,Quincy,MA,,"Norfolk County",02169,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3wh7l6b38npk2lwr96xxgus9be-vwbp9q335lfwe,parcel_centroid
